,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
195,AJ Griffin,ATL,19,70,70,100,3.4,7.3,46.4,55.8,51.5,2.0,3.8,53.5,48.5,1.4,3.5,38.7
196,Terrence Ross,PHX,32,60,58,100,3.1,7.3,43.0,53.6,43.2,1.6,3.1,50.5,56.8,1.5,4.1,37.1
197,Chris Duarte,IND,25,46,46,100,2.7,7.2,36.9,45.2,47.7,1.5,3.5,42.8,52.3,1.2,3.8,31.7
198,Kyle Anderson,MIN,29,67,64,100,3.7,7.2,50.9,55.3,79.0,3.0,5.7,53.4,21.0,0.6,1.5,41.7
199,Precious Achiuwa,TOR,23,52,52,100,3.4,7.2,47.6,50.9,73.7,2.9,5.3,55.4,26.3,0.5,1.9,25.5
200,Ayo Dosunmu,CHI,23,76,75,100,3.5,7.0,49.0,54.3,66.9,2.7,4.7,57.3,33.1,0.8,2.3,32.2
201,Chris Boucher,TOR,30,73,72,100,3.5,7.0,49.6,55.6,63.9,2.6,4.5,58.9,36.1,0.8,2.5,33.2
202,Jordan Nwora,IND,24,59,57,100,3.0,7.0,43.1,52.7,52.8,1.7,3.7,45.5,47.2,1.3,3.3,40.5
203,Isaiah Joe,OKC,23,72,68,100,3.1,6.9,44.5,60.4,22.5,0.9,1.6,56.4,77.5,2.2,5.3,40.9
204,Jevon Carter,MIL,27,78,77,100,2.9,6.9,42.4,54.7,40.7,1.2,2.8,43.4,59.3,1.7,4.1,41.8
205,Pat Connaughton,MIL,30,61,60,100,2.7,6.9,39.2,52.1,23.5,0.9,1.6,56.8,76.5,1.8,5.3,33.9
206,T.J. McConnell,IND,31,74,74,100,3.7,6.9,54.1,56.6,88.6,3.4,6.1,55.5,11.4,0.3,0.8,43.6
207,Moritz Wagner,ORL,25,56,55,100,3.5,6.9,50.6,57.0,59.0,2.6,4.0,64.4,41.0,0.9,2.8,31.2
208,Cedi Osman,CLE,27,75,73,100,3.1,6.9,44.8,55.6,40.9,1.6,2.8,56.6,59.1,1.5,4.1,36.6
209,Kevin Love,MIA,34,60,60,100,2.7,6.9,38.8,50.4,30.6,1.1,2.1,51.4,69.4,1.6,4.8,33.1
210,Santi Aldama,MEM,22,76,76,100,3.2,6.9,47.2,56.2,49.1,2.0,3.4,59.3,50.9,1.2,3.5,35.5
211,Taurean Prince,MIN,29,52,52,100,3.2,6.8,46.6,56.3,48.6,1.9,3.3,56.2,51.4,1.3,3.5,37.8
212,Justise Winslow,POR,27,29,28,100,2.8,6.8,40.9,44.4,77.3,2.3,5.3,43.8,22.7,0.5,1.6,31.0
213,Josh Hart,NYK,28,73,73,100,3.7,6.8,53.6,59.6,68.3,2.8,4.7,60.9,31.7,0.8,2.2,38.0
214,Ivica Zubac,LAC,26,73,73,100,4.2,6.7,63.2,63.2,99.6,4.2,6.7,63.4,0.4,0.0,0.0,0.0
215,Keita Bates-Diop,SAS,27,63,58,100,3.4,6.7,50.2,56.2,69.4,2.6,4.7,55.3,30.6,0.8,2.0,38.5
216,Hamidou Diallo,DET,24,55,55,100,3.8,6.7,56.7,57.4,94.3,3.7,6.3,58.7,5.7,0.1,0.4,23.7
217,Bol Bol,ORL,23,67,66,100,3.7,6.6,56.6,59.8,77.6,3.3,5.1,64.5,22.4,0.4,1.5,29.1
218,Jaden Hardy,DAL,20,45,44,100,2.9,6.6,43.8,53.7,52.5,1.6,3.5,45.5,47.5,1.3,3.1,41.9
219,Draymond Green,GSW,33,70,70,100,3.4,6.5,52.7,57.0,72.4,2.9,4.7,61.1,27.6,0.6,1.8,31.1
220,Kenrich Williams,OKC,28,53,53,100,3.4,6.5,51.7,59.0,61.3,2.4,4.0,60.8,38.7,0.9,2.5,37.2
221,Terance Mann,LAC,26,78,76,100,3.4,6.5,51.8,59.2,61.8,2.4,4.0,59.8,38.2,1.0,2.5,38.6
222,Joshua Primo,SAS,20,4,4,100,2.3,6.5,34.6,40.4,53.8,1.5,3.5,42.9,46.2,0.8,3.0,25.0
223,Will Barton,TOR,32,53,50,100,2.5,6.5,38.1,47.4,50.0,1.3,3.3,38.8,50.0,1.2,3.3,37.2
224,T.J. Warren,PHX,29,42,39,100,3.1,6.4,48.9,53.0,75.2,2.6,4.8,54.2,24.8,0.5,1.6,32.5
225,Luke Kennard,MEM,26,58,56,100,3.1,6.4,48.5,65.7,29.8,0.9,1.9,47.6,70.2,2.2,4.5,48.9
226,Gary Harris,ORL,28,48,48,100,2.9,6.4,45.0,60.3,29.0,0.9,1.9,49.7,71.0,2.0,4.5,43.2
227,Josh Green,DAL,22,59,58,100,3.4,6.4,53.3,62.1,56.0,2.3,3.6,64.0,44.0,1.1,2.8,39.9
228,Georges Niang,PHI,29,76,76,100,2.8,6.3,43.6,58.9,22.6,0.8,1.4,57.3,77.4,1.9,4.9,39.7
229,Kemba Walker,DAL,32,9,9,100,2.7,6.3,42.1,48.2,50.9,1.9,3.2,58.7,49.1,0.8,3.1,25.1
230,Evan Fournier,NYK,30,24,24,100,2.2,6.3,34.9,45.7,32.2,0.8,2.0,40.7,67.8,1.4,4.3,32.2
231,Shake Milton,PHI,26,73,71,100,3.0,6.3,48.2,54.0,69.8,2.3,4.4,52.2,30.2,0.7,1.9,38.9
232,Torrey Craig,PHX,32,76,76,100,2.8,6.3,44.7,54.7,48.6,1.6,3.1,50.5,51.4,1.3,3.2,38.9
233,Daniel Theis,IND,31,7,7,100,3.0,6.3,47.7,50.0,75.0,2.7,4.7,57.5,25.0,0.3,1.6,18.5
234,Steven Adams,MEM,29,42,42,100,3.7,6.3,59.7,59.7,99.6,3.7,6.2,59.9,0.4,0.0,0.0,0.0
235,Brandon Clarke,MEM,26,56,56,100,4.1,6.2,65.6,65.8,98.3,4.1,6.1,66.4,1.7,0.0,0.1,18.2
236,Thomas Bryant,DEN,25,58,58,100,3.9,6.2,62.3,65.7,84.5,3.5,5.3,66.0,15.5,0.4,1.0,42.3
237,Kendrick Nunn,WAS,27,67,66,100,2.7,6.2,42.7,51.7,50.1,1.5,3.1,49.4,49.9,1.1,3.1,36.1
238,Mason Plumlee,LAC,33,76,76,100,4.2,6.2,67.5,67.5,100.0,4.2,6.2,67.4,0.0,0.0,0.0,-
239,Onyeka Okongwu,ATL,22,77,76,100,4.0,6.2,64.6,64.9,98.1,3.9,6.0,65.2,1.9,0.0,0.1,33.3
240,Romeo Langford,SAS,23,39,38,100,2.9,6.2,47.1,50.4,76.3,2.5,4.7,53.1,23.8,0.4,1.5,28.1
241,Troy Brown Jr.,LAL,23,73,72,100,2.6,6.2,43.0,54.3,39.4,1.3,2.4,51.7,60.6,1.4,3.7,37.5
242,Grant Williams,BOS,24,76,74,100,2.8,6.1,46.0,58.4,38.7,1.3,2.4,54.9,61.3,1.5,3.8,40.3
243,Reggie Bullock,DAL,32,76,76,100,2.5,6.1,40.9,56.9,15.6,0.5,0.9,56.8,84.4,1.9,5.1,38.0
244,Damion Lee,PHX,30,72,71,100,2.7,6.1,44.5,57.0,44.5,1.2,2.7,43.9,55.5,1.5,3.4,44.9
245,Justin Minaya,POR,24,1,1,100,3.0,6.0,50.0,66.7,16.7,1.0,1.0,100,83.3,2.0,5.0,40.0
246,Julian Champagnie,SAS,21,14,14,100,2.7,6.0,45.2,57.1,35.7,1.3,2.1,60.3,64.3,1.4,3.9,37.0
247,Jeenathan Williams,POR,24,2,2,100,2.5,6.0,41.7,45.8,66.7,2.0,4.0,50.0,33.3,0.5,2.0,25.0
248,Devonte' Graham,SAS,28,73,73,100,2.2,5.9,37.4,51.2,21.6,0.6,1.3,45.7,78.4,1.6,4.6,35.2
249,Jalen Duren,DET,19,63,62,100,3.8,5.9,63.9,63.9,99.5,3.8,5.9,64.2,0.5,0.0,0.0,0.0
250,Jeff Green,DEN,36,54,54,100,2.9,5.9,48.7,53.0,69.5,2.4,4.1,57.9,30.5,0.5,1.8,27.8
251,Ochai Agbaji,UTA,22,56,50,100,2.6,5.9,43.9,55.8,37.6,1.2,2.2,54.3,62.4,1.4,3.7,37.8
252,Derrick Rose,NYK,34,27,27,100,2.3,5.9,38.4,44.3,60.4,1.6,3.6,43.8,39.6,0.7,2.3,30.0
253,Joe Harris,BKN,31,72,72,100,2.7,5.9,45.6,61.5,25.3,0.8,1.5,55.0,74.7,1.9,4.4,42.4
254,Jarred Vanderbilt,LAL,24,75,75,100,3.2,5.8,54.7,58.0,79.9,2.8,4.7,60.2,20.1,0.4,1.2,33.3
255,David Roddy,MEM,22,67,65,100,2.5,5.8,43.3,51.3,49.0,1.6,2.9,56.1,51.0,0.9,3.0,31.3
256,Delon Wright,WAS,30,49,49,100,2.7,5.8,46.8,53.9,58.8,1.9,3.4,55.7,41.2,0.8,2.4,34.3
257,Obi Toppin,NYK,25,64,64,100,2.5,5.8,43.1,53.1,40.1,1.3,2.3,57.6,59.9,1.2,3.5,33.6
258,Brandon Boston Jr.,LAC,21,21,19,100,2.4,5.8,42.1,47.1,76.0,1.9,4.4,42.5,24.0,0.6,1.4,41.3
259,Blake Wesley,SAS,20,33,33,100,1.7,5.8,30.0,34.2,75.3,1.2,4.3,28.6,24.7,0.5,1.4,33.8
260,Jeremiah Robinson-Earl,OKC,22,41,40,100,2.6,5.7,45.5,53.0,55.3,1.8,3.2,55.5,44.7,0.8,2.6,33.2
261,Mark Williams,CHA,21,41,39,100,3.6,5.7,62.4,62.4,100.0,3.6,5.7,62.3,0.0,0.0,0.0,-
262,Eugene Omoruyi,DET,26,39,37,100,2.5,5.7,44.6,49.8,61.7,1.9,3.5,55.6,38.3,0.6,2.2,27.1
263,Shaquille Harrison,POR,29,3,3,100,2.3,5.7,41.2,47.1,70.6,1.7,4.0,41.8,29.4,0.7,1.7,40.1
264,Goran Dragic,MIL,36,55,54,100,2.4,5.6,41.7,49.5,56.6,1.5,3.2,46.2,43.4,0.9,2.4,35.7
265,Nassir Little,POR,23,54,53,100,2.5,5.6,44.2,53.8,47.9,1.4,2.7,52.4,52.1,1.1,2.9,36.5
266,Josh Okogie,PHX,24,69,62,100,2.2,5.6,39.8,47.8,52.5,1.3,2.9,45.2,47.5,0.9,2.7,33.7
267,Ben Simmons,BKN,26,42,42,100,3.2,5.6,56.6,56.6,99.1,3.2,5.5,57.1,0.9,0.0,0.1,0.0
268,Walker Kessler,UTA,21,74,72,100,4.0,5.6,72.0,72.1,99.3,4.0,5.5,72.3,0.7,0.0,0.0,25.0
269,Isaiah Livers,DET,24,51,51,100,2.3,5.6,41.5,54.2,29.2,0.9,1.6,55.2,70.8,1.4,3.9,35.8
270,Ty Jerome,GSW,25,44,42,100,2.7,5.5,48.8,56.0,62.8,1.9,3.5,54.8,37.2,0.8,2.0,39.0
271,Terence Davis,SAC,25,62,61,100,2.4,5.5,43.7,56.3,33.6,1.0,1.8,54.3,66.4,1.4,3.6,38.3
272,Simone Fontecchio,UTA,27,49,44,100,2.0,5.5,36.2,46.5,38.1,0.9,2.1,41.3,61.9,1.1,3.4,33.0
273,Duncan Robinson,MIA,28,39,38,100,2.0,5.4,36.8,50.5,18.4,0.5,1.0,51.0,81.6,1.5,4.4,33.6
274,Trey Lyles,SAC,27,71,69,100,2.5,5.4,46.0,56.6,41.3,1.3,2.2,59.8,58.7,1.1,3.2,36.2
275,Jordan Goodwin,WAS,24,59,57,100,2.4,5.4,44.7,50.2,67.5,1.8,3.7,50.0,32.5,0.6,1.8,33.5
276,Cory Joseph,DET,31,59,58,100,2.3,5.4,42.8,52.3,50.3,1.3,2.7,47.3,49.7,1.0,2.7,38.3
277,Joe Ingles,MIL,35,44,44,100,2.4,5.4,43.7,60.5,18.5,0.6,1.0,55.0,81.5,1.8,4.4,41.3
278,Patrick Beverley,CHI,34,65,65,100,2.1,5.4,39.6,50.6,33.9,0.9,1.8,51.9,66.1,1.2,3.6,33.1
279,Theo Maledon,CHA,21,42,39,100,2.0,5.3,38.4,43.8,62.5,1.5,3.3,44.4,37.5,0.6,2.0,28.5
280,Johnny Juzang,UTA,22,15,15,100,1.8,5.3,33.8,42.5,32.5,0.9,1.7,50.3,67.5,0.9,3.6,25.8
281,Luka Samanic,UTA,23,4,4,100,2.5,5.3,47.6,57.1,42.9,1.5,2.3,66.7,57.1,1.0,3.0,33.3
282,Edmond Sumner,BKN,27,51,48,100,2.4,5.2,45.7,51.5,67.5,1.8,3.5,50.1,32.5,0.6,1.7,36.1
283,James Bouknight,CHA,22,32,28,100,1.9,5.2,37.3,46.7,44.0,1.0,2.3,42.5,56.0,1.0,2.9,33.3
284,TyTy Washington Jr.,HOU,21,30,29,100,1.8,5.2,35.5,41.0,49.7,1.3,2.6,49.4,50.3,0.6,2.6,21.9
285,Ricky Rubio,CLE,32,31,31,100,1.8,5.2,35.6,41.9,52.5,1.2,2.7,43.9,47.5,0.7,2.5,26.5
286,Aaron Wiggins,OKC,24,68,65,100,2.6,5.2,50.9,57.6,66.6,1.9,3.4,56.3,33.4,0.7,1.7,40.1
287,Anthony Lamb,GSW,25,59,58,100,2.4,5.2,46.1,57.6,35.9,1.2,1.9,64.3,64.1,1.2,3.3,36.0
288,Cody Martin,CHA,27,7,6,100,2.0,5.1,38.9,43.1,61.1,1.6,3.1,50.0,38.9,0.4,2.0,21.5
289,Rudy Gay,UTA,36,56,55,100,1.9,5.1,38.0,43.7,54.7,1.4,2.8,48.6,45.3,0.6,2.3,25.4
290,Mo Bamba,LAL,24,47,44,100,2.5,5.1,48.7,58.8,48.3,1.4,2.5,59.2,51.7,1.0,2.6,38.9
291,Xavier Tillman,MEM,24,60,58,100,3.1,5.0,61.5,62.2,95.0,3.0,4.7,63.4,5.0,0.1,0.3,28.0
292,Isaiah Jackson,IND,21,60,56,100,2.8,5.0,56.2,56.5,95.3,2.8,4.8,58.3,4.7,0.0,0.2,13.0
293,Josh Christopher,HOU,21,62,59,100,2.3,5.0,46.6,50.0,72.2,2.0,3.6,55.0,27.8,0.3,1.4,24.5
294,Patty Mills,BKN,34,39,38,100,2.1,5.0,41.8,53.4,37.6,0.9,1.9,49.2,62.4,1.1,3.1,37.1
295,Nickeil Alexander-Walker,MIN,24,57,53,100,2.2,5.0,43.8,53.7,47.0,1.2,2.3,51.1,53.0,1.0,2.6,37.3
296,Daniel Gafford,WAS,24,76,74,100,3.6,4.9,72.5,72.5,100.0,3.6,4.9,72.6,0.0,0.0,0.0,-
297,Ziaire Williams,MEM,21,36,33,100,2.1,4.9,42.4,48.6,49.7,1.5,2.4,60.2,50.3,0.6,2.5,24.7
298,Robert Covington,LAC,32,46,44,100,2.1,4.9,44.0,55.6,40.4,1.0,2.0,51.5,59.6,1.1,2.9,38.8
299,Nicolas Batum,LAC,34,75,74,100,2.1,4.9,42.5,58.9,17.4,0.5,0.8,56.5,82.6,1.6,4.0,39.6
300,Robert Williams III,BOS,25,33,32,100,3.6,4.9,74.5,74.5,99.4,3.6,4.8,75.1,0.6,0.0,0.0,0.0
301,Trendon Watford,POR,22,59,58,100,2.7,4.9,55.6,59.4,79.5,2.3,3.9,60.3,20.5,0.4,1.0,37.0
302,Davion Mitchell,SAC,24,78,78,100,2.3,4.9,46.3,54.2,51.1,1.5,2.5,59.8,48.9,0.8,2.4,32.4
303,Nick Richards,CHA,25,63,60,100,3.0,4.8,62.8,63.0,99.7,3.0,4.8,62.8,0.3,0.0,0.0,100
304,Jonathan Isaac,ORL,25,11,11,100,2.0,4.8,41.5,47.2,71.7,1.4,3.5,42.0,28.3,0.6,1.4,40.4
305,Oshae Brissett,IND,24,62,59,100,1.9,4.8,38.8,46.8,49.5,1.1,2.4,46.0,50.5,0.8,2.4,31.6
306,Sandro Mamukelashvili,SAS,23,40,38,100,2.0,4.8,41.7,47.9,55.2,1.4,2.6,52.8,44.8,0.6,2.1,27.9
307,R.J. Hampton,DET,22,44,40,100,2.0,4.8,41.7,50.2,50.2,1.2,2.4,49.0,49.8,0.8,2.4,34.3
308,Larry Nance Jr.,NOP,30,62,59,100,2.9,4.8,60.5,62.8,85.8,2.7,4.1,64.9,14.2,0.2,0.7,33.8
309,Dario Saric,OKC,28,56,53,100,2.2,4.8,45.7,53.7,58.4,1.4,2.8,50.5,41.6,0.8,2.0,38.9
310,Kevin Knox II,POR,23,60,57,100,2.1,4.8,45.1,54.7,43.0,1.2,2.0,60.0,57.0,0.9,2.7,33.8
311,Rodney McGruder,DET,31,32,28,100,1.9,4.8,40.8,54.3,36.2,0.7,1.7,38.4,63.8,1.3,3.0,42.2
312,Jaylin Williams,OKC,20,48,46,100,2.0,4.7,43.4,52.9,52.2,1.1,2.5,46.7,47.8,0.9,2.3,40.0
313,Jock Landale,PHX,27,66,63,100,2.5,4.7,52.3,55.5,73.5,2.1,3.5,62.3,26.5,0.3,1.2,24.2
314,Kevon Looney,GSW,27,79,78,100,2.9,4.7,62.6,62.6,99.7,2.9,4.7,62.7,0.3,0.0,0.0,0.0
315,Isaac Okoro,CLE,22,76,74,100,2.3,4.7,49.4,58.2,51.7,1.5,2.4,61.8,48.3,0.8,2.3,36.4
316,Sam Hauser,BOS,25,77,72,100,2.1,4.6,44.9,62.5,15.4,0.5,0.7,63.4,84.6,1.6,3.9,41.4
317,Maxi Kleber,DAL,31,36,35,100,2.1,4.6,45.8,57.5,33.7,1.0,1.6,66.0,66.3,1.1,3.1,35.3
318,Nikola Jovic,MIA,19,15,13,100,1.9,4.6,40.6,46.4,49.3,1.3,2.3,58.6,50.7,0.5,2.3,22.7
319,Payton Pritchard,BOS,25,46,42,100,1.8,4.6,39.0,49.3,38.1,0.8,1.7,48.9,61.9,0.9,2.8,32.9
320,Lamar Stevens,CLE,25,60,57,100,2.0,4.5,45.4,50.6,66.8,1.6,3.0,52.3,33.2,0.5,1.5,31.3
321,Johnny Davis,WAS,21,25,20,100,1.9,4.5,41.6,46.5,61.9,1.4,2.8,51.4,38.1,0.4,1.7,25.6
322,Mitchell Robinson,NYK,25,57,55,100,3.1,4.5,69.3,69.3,100.0,3.1,4.5,69.2,0.0,0.0,0.0,-
323,MarJon Beauchamp,MIL,22,49,45,100,1.8,4.5,40.3,49.8,41.6,1.0,1.9,51.1,58.4,0.9,2.6,32.7
324,Svi Mykhailiuk,CHA,25,30,25,100,2.1,4.5,47.0,60.1,44.0,0.9,2.0,47.2,56.0,1.2,2.5,46.8
325,JaMychal Green,GSW,32,56,53,100,2.4,4.5,54.0,62.4,56.0,1.7,2.5,66.4,44.0,0.8,2.0,38.3
326,Willy Hernangomez,NOP,28,38,35,100,2.3,4.5,52.7,53.6,93.5,2.3,4.2,54.3,6.5,0.1,0.3,27.6
327,Keon Johnson,POR,21,40,37,100,1.7,4.5,37.6,45.5,54.5,1.0,2.4,40.3,45.5,0.7,2.0,34.5
328,Ousmane Dieng,OKC,19,37,36,100,1.8,4.4,41.5,48.8,45.7,1.2,2.0,58.6,54.3,0.7,2.4,27.0
329,Malachi Flynn,TOR,24,51,48,100,1.5,4.4,34.5,44.5,42.9,0.7,1.9,34.2,57.1,0.9,2.5,34.8
330,Mike Muscala,BOS,31,60,55,100,1.9,4.4,43.0,56.8,28.3,0.7,1.3,54.4,71.7,1.2,3.2,38.5
331,Jalen Johnson,ATL,21,67,64,100,2.1,4.4,48.5,53.2,67.2,1.7,2.9,57.8,32.8,0.4,1.4,29.4
332,John Konchar,MEM,27,69,65,100,1.8,4.3,42.0,51.8,42.7,1.0,1.9,52.2,57.3,0.9,2.5,34.5
333,Jae Crowder,MIL,32,15,15,100,2.0,4.3,46.2,59.2,36.9,0.9,1.6,54.4,63.1,1.1,2.7,41.4
334,Alex Caruso,CHI,29,64,62,100,1.9,4.3,45.5,55.3,46.5,1.1,2.0,55.5,53.5,0.8,2.3,36.5
335,Jarrett Culver,ATL,24,10,9,100,1.7,4.3,39.5,40.7,72.1,1.6,3.1,51.6,27.9,0.1,1.2,8.3
336,Lindy Waters III,OKC,25,39,37,100,1.6,4.2,38.8,55.2,8.5,0.3,0.4,72.2,91.5,1.4,3.9,35.7
337,Justin Holiday,DAL,33,44,43,100,1.6,4.2,38.0,50.0,28.3,0.6,1.2,50.0,71.7,1.0,3.0,33.3
338,Drew Eubanks,POR,26,77,74,100,2.7,4.2,63.9,64.5,95.6,2.6,4.0,65.4,4.4,0.1,0.2,27.8
339,Stanley Johnson,SAS,26,29,29,100,2.2,4.2,52.9,60.3,66.9,1.6,2.8,57.0,33.1,0.6,1.4,44.9
340,Daishen Nix,HOU,21,56,52,100,1.4,4.2,34.3,42.9,40.8,0.7,1.7,41.8,59.2,0.7,2.5,28.9
341,Trevelin Queen,IND,26,7,7,100,1.0,4.1,24.1,27.6,48.3,0.7,2.0,35.5,51.7,0.3,2.1,13.6
342,Luka Garza,MIN,24,27,25,100,2.3,4.1,55.0,61.3,65.8,1.7,2.7,64.4,34.2,0.5,1.4,36.9
343,Andre Drummond,CHI,29,65,60,100,2.5,4.1,60.9,60.9,98.9,2.5,4.0,61.5,1.1,0.0,0.1,0.0
344,Darius Bazley,PHX,22,41,35,100,1.8,4.0,44.6,50.3,70.5,1.3,2.9,47.0,29.5,0.5,1.2,38.3
345,Austin Rivers,MIN,30,52,48,100,1.8,4.0,43.5,53.8,41.1,0.9,1.6,55.8,58.9,0.8,2.4,35.0
346,Bryce McGowens,CHA,20,44,40,100,1.6,4.0,38.6,45.5,59.7,1.0,2.4,41.8,40.3,0.6,1.6,34.2
347,Chuma Okeke,ORL,24,24,24,100,1.5,4.0,36.5,47.4,30.2,0.6,1.2,47.9,69.8,0.9,2.8,31.5
348,Dalano Banton,TOR,23,29,27,100,1.6,4.0,40.0,45.7,60.0,1.1,2.4,47.9,40.0,0.5,1.6,28.3
349,Isaiah Hartenstein,NYK,24,79,78,100,2.1,4.0,53.4,54.6,88.2,2.0,3.5,57.6,11.8,0.1,0.5,21.3
350,Yuta Watanabe,BKN,28,55,54,100,1.9,3.9,49.5,62.3,43.1,0.9,1.7,56.2,56.9,1.0,2.2,44.6
351,Dean Wade,CLE,26,42,38,100,1.6,3.9,40.9,53.4,27.4,0.6,1.1,57.9,72.6,1.0,2.8,34.6
352,Haywood Highsmith,MIA,26,51,44,100,1.7,3.9,42.9,52.0,48.0,1.0,1.9,51.6,52.0,0.7,2.0,35.1
353,Charles Bassey,SAS,22,35,31,100,2.5,3.9,64.4,65.6,94.1,2.4,3.6,66.1,5.9,0.1,0.2,39.1
354,Dewayne Dedmon,PHI,33,36,35,100,1.9,3.9,49.6,53.6,72.7,1.6,2.8,57.3,27.3,0.3,1.1,29.2
355,Wenyen Gabriel,LAL,26,65,61,100,2.3,3.8,59.4,61.4,86.3,2.1,3.3,64.0,13.7,0.1,0.5,28.8
356,Saben Lee,PHX,23,23,20,100,1.6,3.8,42.0,46.0,77.3,1.3,3.0,43.9,22.7,0.3,0.9,34.5
357,Vlatko Cancar,DEN,25,57,46,100,1.8,3.8,48.4,58.1,49.3,1.1,1.9,58.6,50.7,0.7,1.9,38.7
358,Otto Porter Jr.,TOR,29,8,8,100,1.9,3.8,50.0,60.0,43.3,1.1,1.6,69.3,56.7,0.8,2.1,35.2
359,Ish Wainright,PHX,28,57,51,100,1.4,3.7,38.0,50.9,24.4,0.5,0.9,50.5,75.6,1.0,2.8,34.0
360,Isaiah Roby,SAS,25,41,35,100,1.6,3.7,43.0,49.0,61.6,1.1,2.3,50.7,38.4,0.4,1.4,31.2
361,Thaddeus Young,TOR,34,54,49,100,2.0,3.7,54.5,56.1,82.8,1.9,3.0,62.2,17.2,0.1,0.6,17.5
362,Jared Butler,OKC,22,3,4,100,1.7,3.7,45.5,54.5,54.5,1.0,2.0,50.0,45.5,0.7,1.7,40.1
363,Dwight Powell,DAL,31,74,70,100,2.6,3.6,73.1,73.1,98.1,2.6,3.5,74.6,1.9,0.0,0.1,0.0
364,Cody Zeller,MIA,30,13,13,100,2.1,3.6,57.4,57.4,95.7,2.1,3.5,60.1,4.3,0.0,0.1,0.0
365,Garrison Mathews,ATL,26,52,49,100,1.3,3.6,36.2,51.9,10.6,0.2,0.4,44.7,89.4,1.1,3.2,35.0
366,Dyson Daniels,NOP,20,57,52,100,1.5,3.6,42.2,48.8,59.2,1.1,2.1,49.1,40.8,0.5,1.5,32.0
367,Patrick Baldwin Jr.,GSW,20,28,22,100,1.4,3.6,39.6,54.5,22.8,0.4,0.8,43.9,77.2,1.1,2.8,38.4
368,Christian Braun,DEN,21,73,60,100,1.8,3.6,49.0,55.2,66.7,1.3,2.4,55.5,33.3,0.4,1.2,37.0
369,Matisse Thybulle,POR,26,71,58,100,1.6,3.6,43.5,54.2,41.5,0.8,1.5,53.4,58.5,0.8,2.1,36.5
370,Montrezl Harrell,PHI,29,54,49,100,2.1,3.5,59.5,59.5,97.9,2.1,3.4,60.8,2.1,0.0,0.1,0.0
371,Kira Lewis Jr.,NOP,21,25,21,100,1.6,3.5,45.5,54.0,61.4,1.0,2.2,46.3,38.6,0.6,1.4,44.1
372,AJ Green,MIL,23,33,25,100,1.6,3.5,44.0,62.1,16.4,0.3,0.6,46.6,83.6,1.3,2.9,43.2
373,Jarrell Brantley,UTA,26,4,3,100,2.0,3.5,57.1,71.4,35.7,1.0,1.3,80.0,64.3,1.0,2.3,44.4
374,George Hill,IND,36,44,38,100,1.6,3.5,45.5,54.5,43.5,0.9,1.5,62.5,56.5,0.6,2.0,32.3
375,Day'Ron Sharpe,BKN,21,45,38,100,1.9,3.5,54.1,56.1,93.0,1.8,3.2,54.3,7.0,0.1,0.2,54.2
376,Gorgui Dieng,SAS,33,29,25,100,1.3,3.5,37.6,46.5,34.7,0.7,1.2,57.0,65.3,0.6,2.3,27.2
377,Jordan McLaughlin,MIN,26,41,41,100,1.4,3.5,41.5,49.3,46.5,0.9,1.6,55.9,53.5,0.5,1.9,29.2
378,Derrick Jones Jr.,CHI,26,60,53,100,1.7,3.5,49.8,55.3,67.1,1.3,2.3,57.3,32.9,0.4,1.1,33.6
379,Zeke Nnaji,DEN,22,50,43,100,2.0,3.4,57.6,61.6,69.8,1.7,2.4,70.8,30.2,0.3,1.0,26.9
380,Javonte Green,CHI,29,31,28,100,2.0,3.4,57.5,63.7,67.9,1.6,2.3,66.8,32.1,0.4,1.1,38.2
381,Aaron Holiday,ATL,26,60,52,100,1.4,3.4,42.4,50.5,60.5,0.9,2.1,43.5,39.5,0.6,1.4,40.7
382,Bismack Biyombo,PHX,30,59,52,100,2.0,3.4,58.0,58.0,100.0,2.0,3.4,58.1,0.0,0.0,0.0,-
383,Serge Ibaka,MIL,33,16,16,100,1.6,3.4,48.1,53.7,66.7,1.3,2.3,55.6,33.3,0.4,1.1,33.6
384,Moses Moody,GSW,20,60,53,100,1.6,3.4,45.8,56.4,39.4,0.8,1.3,62.4,60.6,0.7,2.0,35.1
385,Jamal Cain,MIA,24,15,13,100,1.7,3.3,52.0,54.0,76.0,1.6,2.5,63.2,24.0,0.1,0.8,16.3
386,Dru Smith,BKN,25,12,10,100,1.5,3.3,45.0,51.3,52.5,1.1,1.8,61.7,47.5,0.4,1.6,26.6
387,Jaxson Hayes,NOP,22,47,42,100,1.8,3.3,55.1,56.1,81.4,1.8,2.7,65.6,18.6,0.1,0.6,9.7
388,Bryn Forbes,MIN,29,25,23,100,1.2,3.3,36.1,44.6,44.6,0.6,1.5,43.2,55.4,0.6,1.8,30.4
389,Jabari Walker,POR,20,53,45,100,1.4,3.3,42.0,46.6,71.3,1.1,2.3,46.2,28.7,0.3,0.9,31.9
390,JT Thor,CHA,20,67,59,100,1.3,3.3,41.1,49.1,49.3,0.8,1.6,50.9,50.7,0.5,1.7,31.3
391,Blake Griffin,BOS,34,38,31,100,1.6,3.3,48.4,56.9,50.8,1.0,1.7,62.0,49.2,0.6,1.6,34.2
